epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
56,211.599,0.53965,0.43098,1.17657,0.0304,0.99717,0.96667,0.99341,0.9112,0.46319,0.35652,1.35718,0.03545,0.000911,0.000911,0.000911
57,215.254,0.50879,0.40988,1.18049,0.02954,0.98327,0.97955,0.99232,0.89966,0.44961,0.35797,1.40189,0.03394,0.0008912,0.0008912,0.0008912
58,218.863,0.51981,0.3973,1.18031,0.0298,0.98328,0.97999,0.99326,0.91733,0.43914,0.35535,1.45595,0.02321,0.0008714,0.0008714,0.0008714
59,222.553,0.49679,0.40419,1.17964,0.0227,0.96766,0.99743,0.99401,0.91948,0.41448,0.34298,1.43667,0.02456,0.0008516,0.0008516,0.0008516
60,227.025,0.47591,0.39099,1.18956,0.02304,0.98015,0.98333,0.98957,0.92727,0.42141,0.36545,1.41018,0.02534,0.0008318,0.0008318,0.0008318
61,230.68,0.50611,0.40183,1.16228,0.0313,0.9793,0.98333,0.98669,0.91333,0.43447,0.35946,1.40456,0.03406,0.000812,0.000812,0.000812
62,234.18,0.5145,0.40691,1.1615,0.02947,0.97913,0.98333,0.99187,0.89859,0.4597,0.3641,1.35945,0.04351,0.0007922,0.0007922,0.0007922
63,237.602,0.48499,0.38941,1.14571,0.02347,0.98329,0.98088,0.99371,0.9072,0.43221,0.35122,1.34565,0.02587,0.0007724,0.0007724,0.0007724
64,241.245,0.48931,0.39341,1.16024,0.03513,0.98256,0.98333,0.99452,0.92479,0.41261,0.33007,1.32746,0.02065,0.0007526,0.0007526,0.0007526
65,244.794,0.4783,0.39549,1.12303,0.02456,0.99625,0.98333,0.985,0.91917,0.43067,0.33213,1.35273,0.01897,0.0007328,0.0007328,0.0007328
66,248.4,0.43754,0.36546,1.09634,0.0215,0.99906,0.98333,0.985,0.92041,0.42486,0.33706,1.31421,0.02695,0.000713,0.000713,0.000713
67,252.121,0.4328,0.36145,1.09738,0.01634,1,0.98249,0.99241,0.92376,0.42894,0.34908,1.30412,0.03456,0.0006932,0.0006932,0.0006932
68,255.663,0.45169,0.34981,1.11237,0.0213,0.99764,0.98333,0.99437,0.92956,0.39472,0.32139,1.29481,0.02586,0.0006734,0.0006734,0.0006734
69,259.765,0.4731,0.37721,1.17996,0.02657,0.99788,0.98333,0.99468,0.92582,0.4023,0.32035,1.38845,0.02041,0.0006536,0.0006536,0.0006536
70,263.385,0.44603,0.36711,1.12175,0.02261,0.99104,0.98333,0.99452,0.92751,0.40826,0.3242,1.38828,0.02607,0.0006338,0.0006338,0.0006338
71,266.7,0.46495,0.3638,1.11315,0.02952,0.96771,0.99905,0.99351,0.91671,0.41851,0.3283,1.37795,0.03637,0.000614,0.000614,0.000614
72,270.249,0.47131,0.37237,1.13813,0.02158,0.96768,0.99814,0.99218,0.91735,0.40807,0.32866,1.33198,0.0372,0.0005942,0.0005942,0.0005942
73,273.738,0.44388,0.35016,1.12953,0.02001,0.96769,0.99833,0.99234,0.92291,0.41327,0.32947,1.42825,0.03132,0.0005744,0.0005744,0.0005744
74,277.391,0.44183,0.35083,1.11953,0.01523,0.96769,0.99846,0.98851,0.91368,0.38926,0.32484,1.31956,0.02804,0.0005546,0.0005546,0.0005546
75,281.11,0.44268,0.34661,1.08863,0.02846,0.9677,0.99862,0.98884,0.9202,0.40046,0.33235,1.32911,0.03159,0.0005348,0.0005348,0.0005348
76,284.723,0.43427,0.35479,1.10256,0.02533,0.9677,0.99871,0.99384,0.9318,0.3884,0.32345,1.35157,0.02231,0.000515,0.000515,0.000515
77,288.38,0.43567,0.35154,1.12376,0.02372,0.98281,0.98333,0.99468,0.92921,0.3968,0.31931,1.33571,0.03477,0.0004952,0.0004952,0.0004952
78,292.93,0.43975,0.35517,1.09363,0.02177,0.99196,0.98333,0.99468,0.93554,0.40048,0.31248,1.33852,0.03,0.0004754,0.0004754,0.0004754
79,296.697,0.44783,0.35566,1.1314,0.02016,0.99547,0.98333,0.9937,0.9274,0.39872,0.32523,1.3465,0.03423,0.0004556,0.0004556,0.0004556
80,300.157,0.42681,0.35059,1.094,0.02165,0.99268,0.96667,0.99358,0.9268,0.3923,0.33206,1.35547,0.02594,0.0004358,0.0004358,0.0004358
81,303.646,0.40344,0.3301,1.07403,0.02044,0.99557,0.98333,0.99452,0.92417,0.39928,0.33329,1.36867,0.02891,0.000416,0.000416,0.000416
